日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025/1/2,518880,5.975,5.977,5.981,5.96,2330729,1391842464,0.35,0.83,0.049,2.85
2025/1/3,518880,6.02,6.029,6.034,6.012,2759129,1661519900,0.37,0.87,0.052,3.38
2025/1/6,518880,6.023,5.99,6.025,5.984,2980850,1789609736,0.68,-0.65,-0.039,3.65
2025/1/7,518880,5.992,6,6.009,5.987,2177729,1305979331,0.37,0.17,0.01,2.67
2025/1/8,518880,6.01,6.03,6.031,6.01,1604733,965957916,0.35,0.5,0.03,1.96
2025/1/9,518880,6.038,6.065,6.066,6.032,1566054,946209476,0.56,0.58,0.035,1.92
2025/1/10,518880,6.078,6.105,6.109,6.075,2414847,1470619550,0.56,0.66,0.04,2.96
2025/1/13,518880,6.105,6.12,6.133,6.104,3530893,2160358184,0.48,0.25,0.015,4.32
2025/1/14,518880,6.07,6.068,6.075,6.062,2869200,1740951031,0.21,-0.85,-0.052,3.51
2025/1/15,518880,6.075,6.102,6.109,6.07,2386864,1452719737,0.64,0.56,0.034,2.92
2025/1/16,518880,6.139,6.122,6.141,6.11,2413133,1478521166,0.51,0.33,0.02,2.95
2025/1/17,518880,6.146,6.139,6.162,6.136,2479820,1524953624,0.42,0.28,0.017,3.04
2025/1/20,518880,6.091,6.127,6.131,6.089,1982195,1210507375,0.68,-0.2,-0.012,2.43
2025/1/21,518880,6.102,6.127,6.131,6.102,1954421,1196663049,0.47,0,0,2.39
2025/1/22,518880,6.17,6.181,6.215,6.169,2967705,1836180883,0.75,0.88,0.054,3.63
2025/1/23,518880,6.183,6.187,6.194,6.18,1923679,1190173543,0.23,0.1,0.006,2.36
2025/1/24,518880,6.209,6.218,6.225,6.199,2274922,1413858397,0.42,0.5,0.031,2.79
2025/1/27,518880,6.218,6.202,6.218,6.181,2288187,1417961910,0.6,-0.26,-0.016,2.8
