日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024/1/2,518880,4.643,4.666,4.667,4.643,2062784,960225975,0.52,0.39,0.018,2.5
2024/1/3,518880,4.658,4.663,4.666,4.655,1111962,518357486,0.24,-0.06,-0.003,1.35
2024/1/4,518880,4.64,4.651,4.656,4.633,1149663,533852090,0.49,-0.26,-0.012,1.39
2024/1/5,518880,4.659,4.664,4.665,4.656,1267497,590737806,0.19,0.28,0.013,1.54
2024/1/8,518880,4.663,4.65,4.667,4.646,1161639,540661255,0.45,-0.3,-0.014,1.41
2024/1/9,518880,4.651,4.649,4.654,4.642,848128,394312134,0.26,-0.02,-0.001,1.03
2024/1/10,518880,4.647,4.631,4.653,4.628,1615040,749385754,0.54,-0.39,-0.018,1.96
2024/1/11,518880,4.632,4.631,4.637,4.627,976424,452266238,0.22,0,0,1.18
2024/1/12,518880,4.637,4.646,4.648,4.633,1103102,511759981,0.32,0.32,0.015,1.34
2024/1/15,518880,4.664,4.673,4.676,4.664,964553,450431600,0.26,0.58,0.027,1.17
2024/1/16,518880,4.674,4.677,4.68,4.668,832432,388910853,0.26,0.09,0.004,1.01
2024/1/17,518880,4.661,4.631,4.662,4.628,1055515,490679653,0.73,-0.98,-0.046,1.28
2024/1/18,518880,4.624,4.616,4.627,4.613,1250719,577742396,0.3,-0.32,-0.015,1.52
2024/1/19,518880,4.636,4.643,4.643,4.635,870581,403801393,0.17,0.58,0.027,1.06
2024/1/22,518880,4.646,4.625,4.652,4.624,906883,420913409,0.6,-0.39,-0.018,1.1
2024/1/23,518880,4.623,4.632,4.632,4.609,1042699,481919618,0.5,0.15,0.007,1.26
2024/1/24,518880,4.63,4.626,4.63,4.624,673747,311724352,0.13,-0.13,-0.006,0.82
2024/1/25,518880,4.607,4.605,4.612,4.602,1102489,507829370,0.22,-0.45,-0.021,1.34
2024/1/26,518880,4.623,4.625,4.627,4.618,756760,349705130,0.2,0.43,0.02,0.92
2024/1/29,518880,4.636,4.634,4.638,4.632,803554,372477165,0.13,0.19,0.009,0.97
2024/1/30,518880,4.641,4.647,4.652,4.638,879719,408610802,0.3,0.28,0.013,1.07
2024/1/31,518880,4.654,4.653,4.656,4.648,1367351,636137568,0.17,0.13,0.006,1.66
2024/2/1,518880,4.652,4.668,4.67,4.652,1195280,557221065,0.39,0.32,0.015,1.45
2024/2/2,518880,4.671,4.679,4.679,4.671,939806,439432364,0.17,0.24,0.011,1.14
2024/2/5,518880,4.659,4.643,4.666,4.638,1448549,673685719,0.6,-0.77,-0.036,1.76
2024/2/6,518880,4.641,4.633,4.642,4.633,857482,397643970,0.19,-0.22,-0.01,1.04
2024/2/7,518880,4.649,4.642,4.651,4.639,1182408,549202951,0.26,0.19,0.009,1.43
2024/2/8,518880,4.655,4.662,4.663,4.653,923975,430376513,0.22,0.43,0.02,1.12
2024/2/19,518880,4.638,4.644,4.645,4.626,1302395,603682077,0.41,-0.39,-0.018,1.58
2024/2/20,518880,4.645,4.642,4.647,4.637,537232,249301335,0.22,-0.04,-0.002,0.65
2024/2/21,518880,4.648,4.642,4.65,4.641,830906,386052661,0.19,0,0,1.01
2024/2/22,518880,4.639,4.639,4.641,4.633,1036637,480694902,0.17,-0.06,-0.003,1.26
2024/2/23,518880,4.639,4.63,4.641,4.626,1007119,466861191,0.32,-0.19,-0.009,1.22
2024/2/26,518880,4.647,4.651,4.652,4.647,691384,321470465,0.11,0.45,0.021,0.84
2024/2/27,518880,4.647,4.646,4.651,4.646,589874,274150148,0.11,-0.11,-0.005,0.72
2024/2/28,518880,4.647,4.645,4.648,4.642,638726,296713616,0.13,-0.02,-0.001,0.77
2024/2/29,518880,4.65,4.647,4.652,4.645,664134,308641430,0.15,0.04,0.002,0.81
2024/3/1,518880,4.659,4.667,4.668,4.659,869293,405378152,0.19,0.43,0.02,1.05
2024/3/4,518880,4.726,4.725,4.733,4.72,1121867,530228646,0.28,1.24,0.058,1.36
2024/3/5,518880,4.782,4.789,4.79,4.773,1520853,727161417,0.36,1.35,0.064,1.85
2024/3/6,518880,4.804,4.824,4.824,4.803,1313545,631872576,0.44,0.73,0.035,1.59
2024/3/7,518880,4.848,4.885,4.896,4.845,1716553,835868603,1.06,1.26,0.061,2.08
2024/3/8,518880,4.885,4.881,4.885,4.865,1050007,511853589,0.41,-0.08,-0.004,1.27
2024/3/11,518880,4.912,4.899,4.921,4.894,1380299,677319004,0.55,0.37,0.018,1.67
2024/3/12,518880,4.901,4.879,4.906,4.875,1477876,722925045,0.63,-0.41,-0.02,1.79
2024/3/13,518880,4.861,4.87,4.871,4.86,971193,472284885,0.23,-0.18,-0.009,1.18
