日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
2025/2/10,3.76,8.05,234261744,8.04,296713328,10.18,-62451584,-2.14,-85704560,-2.94,-148557168,-5.1
2025/2/17,3.93,5.65,277643616,8.27,303875328,9.05,-26231712,-0.78,-123457664,-3.68,-154185952,-4.59
2025/1/14,3.22,5.23,109949943,10.54,61815551,5.92,48134392,4.61,-33450992,-3.21,-76498944,-7.33
2025/2/5,3.37,3.69,66093449,5.92,43156574,3.86,22936875,2.05,-6744224,-0.6,-59349232,-5.31
2025/6/24,2.91,3.56,68367591,11.46,71179480,11.93,-2811889,-0.47,-34200907,-5.73,-34166684,-5.73
2025/2/26,3.66,3.39,137168858,10.02,142041754,10.37,-4872896,-0.36,-36819792,-2.69,-100349056,-7.33
2025/3/14,3.48,3.26,104702894,11.46,112765601,12.35,-8062707,-0.88,-53472053,-5.85,-51230852,-5.61
2025/1/16,3.27,3.15,48306396,3.81,83261788,6.57,-34955392,-2.76,-28868848,-2.28,-19437552,-1.53
2025/6/9,3.02,3.07,80647484,12.28,74389476,11.33,6258008,0.95,-33593497,-5.11,-47053987,-7.16
2025/5/6,3.1,2.99,9443931,1.75,9301653,1.72,142278,0.03,-13012989,-2.41,3569059,0.66
2025/2/12,3.81,2.97,80573120,3.48,62095664,2.68,18477456,0.8,-22075872,-0.95,-58497264,-2.53
2025/5/8,3.16,2.93,165220798,19.84,116430285,13.98,48790513,5.86,-60688229,-7.29,-104532569,-12.55
2025/6/25,2.98,2.41,48000844,7.75,12603267,2.03,35397577,5.71,4953112,0.8,-52953956,-8.55
2025/4/30,3.01,2.38,8322319,1.86,-462192,-0.1,8784511,1.96,6107757,1.36,-14430076,-3.22
2025/2/6,3.45,2.37,104164908,7.76,111855628,8.33,-7690720,-0.57,-73800432,-5.5,-30364480,-2.26
