日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025/6/3,7.501,7.478,7.519,7.461,6061707,4544989593,0.79,1.48,0.109,7.38
2025/6/4,7.488,7.474,7.503,7.459,4161572,3113658616,0.59,-0.05,-0.004,5.07
2025/6/5,7.499,7.483,7.504,7.469,3385336,2534787070,0.47,0.12,0.009,4.12
2025/6/6,7.477,7.481,7.492,7.469,3753551,2807696362,0.31,-0.03,-0.002,4.57
2025/6/9,7.364,7.4,7.401,7.331,5058251,3726449040,0.94,-1.08,-0.081,6.16
2025/6/10,7.366,7.405,7.42,7.353,5177959,3822935723,0.91,0.07,0.005,6.3
2025/6/11,7.42,7.428,7.436,7.404,3606998,2677639427,0.43,0.31,0.023,4.39
2025/6/12,7.505,7.497,7.512,7.474,3894631,2919654502,0.51,0.93,0.069,4.74
2025/6/13,7.616,7.588,7.653,7.57,8880624,6764698782,1.11,1.21,0.091,10.81
2025/6/16,7.629,7.563,7.634,7.548,6637312,5041475386,1.13,-0.33,-0.025,8.08
2025/6/17,7.525,7.499,7.528,7.47,5031522,3775707856,0.77,-0.85,-0.064,6.13
2025/6/18,7.499,7.503,7.527,7.476,3848653,2886557970,0.68,0.05,0.004,4.69
2025/6/19,7.5,7.465,7.506,7.444,3668574,2741981668,0.83,-0.51,-0.038,4.47
2025/6/20,7.46,7.436,7.464,7.423,3652503,2717567425,0.55,-0.39,-0.029,4.45
2025/6/23,7.452,7.464,7.485,7.441,3685197,2750226776,0.59,0.38,0.028,4.49
2025/6/24,7.431,7.372,7.44,7.354,5816473,4305391870,1.15,-1.23,-0.092,7.08
2025/6/25,7.378,7.392,7.398,7.376,2847107,2103580236,0.3,0.27,0.02,3.47
2025/6/26,7.39,7.405,7.406,7.385,2771479,2049012994,0.28,0.18,0.013,3.37
2025/6/27,7.365,7.326,7.375,7.311,4558534,3345234504,0.86,-1.07,-0.079,5.55
2025/6/30,7.3,7.314,7.321,7.274,3366574,2457750199,0.64,-0.16,-0.012,4.1
