商品,日期,总库存,增持/减持,总价值
黄金,2025/7/11,947.64,-1.17,102117657934.13
黄金,2025/7/10,948.81,1.44,101006467271.89
黄金,2025/7/9,947.37,0.86,100475780662.79
黄金,2025/7/8,946.51,-1.15,100829974404.46
黄金,2025/7/2,947.66,-0.57,101597088424.68
黄金,2025/7/1,948.23,-4.3,102065136577.81
黄金,2025/6/30,952.53,-2.29,100644114369.24
黄金,2025/6/27,954.82,1.43,100407751225.74
黄金,2025/6/25,953.39,-2.29,101684585258.39
黄金,2025/6/24,955.68,-1.72,101446346643.86
黄金,2025/6/23,957.4,7.16,104032517481.67
黄金,2025/6/20,950.24,2.87,102881439131.05
黄金,2025/6/18,947.37,1.43,103281506635.35
黄金,2025/6/17,945.94,4.01,103033627144.41
黄金,2025/6/16,941.93,1.44,102874736564.63
黄金,2025/6/13,940.49,2.58,103863080624.26
黄金,2025/6/12,937.91,3.72,102254006159.12
黄金,2025/6/11,934.19,-1.72,99995692490.02
黄金,2025/6/10,935.91,-0.31,100421610863.21
黄金,2025/6/9,936.22,2.01,99868864976.74
黄金,2025/6/6,934.21,-1.44,100276779331.94
黄金,2025/6/3,935.65,2.58,100279072087.13
黄金,2025/6/2,933.07,2.87,100002482566.52
黄金,2025/5/29,930.2,4.59,99032160812.83
黄金,2025/5/28,925.61,3.15,98201075445.86
黄金,2025/5/23,922.46,-1.43,99111543049.12
黄金,2025/5/22,923.89,4.01,97524530935.04
黄金,2025/5/21,919.88,-1.72,97564687738.94
黄金,2025/5/20,921.6,0.57,96619320970.7
黄金,2025/5/19,921.03,2.3,95630441596.67
黄金,2025/5/16,918.73,-8.89,94001163288.72
黄金,2025/5/15,927.62,-8.89,95153276358.32
黄金,2025/5/13,936.51,-2.58,97178252440.75
黄金,2025/5/12,939.09,1.15,97672045916.78
黄金,2025/5/9,937.94,-1.74,100244401709.59
黄金,2025/5/8,939.68,2.01,101237102752.71
黄金,2025/5/7,937.67,-0.29,102226262210.54
黄金,2025/5/6,937.96,-1.43,102234529328.01
黄金,2025/5/5,939.39,-4.87,98110801650.51
黄金,2025/5/2,944.26,-1.15,98623321456.48
黄金,2025/5/1,945.41,1.15,97681902197.7
黄金,2025/4/30,944.26,-2.87,100214764735.18
黄金,2025/4/29,947.13,0.86,100611638946.88
黄金,2025/4/25,946.27,-2.29,99680361662.65
黄金,2025/4/24,948.56,-0.58,101065302247.75
黄金,2025/4/23,949.14,1.44,99546818566.36
黄金,2025/4/22,947.7,-11.47,104595605890.86
黄金,2025/4/21,959.17,6.88,101918823488.27
黄金,2025/4/17,952.29,-4.88,101191784432.25
黄金,2025/4/16,957.17,4.02,102241899199.05
黄金,2025/4/11,953.15,3.44,98986818489.46
黄金,2025/4/10,949.71,12.62,95963281407.56
黄金,2025/4/9,937.09,11.17,92650872248.25
黄金,2025/4/8,925.92,-0.86,89728361163.7
黄金,2025/4/7,926.78,-6.02,89793393960.18
黄金,2025/4/4,932.8,-3.44,91572310498.66
黄金,2025/4/3,936.24,4.3,93825761624.39
黄金,2025/4/2,931.94,0.57,93444907118.78
黄金,2025/4/1,931.37,-2.01,93806115024.82
黄金,2025/3/31,933.38,1.44,93451271551.85
黄金,2025/3/28,931.94,2.29,92007288210.41
黄金,2025/3/27,929.65,0.29,91331844607.69
黄金,2025/3/25,929.36,0.29,90368909601.32
黄金,2025/3/24,929.07,-1.44,89820757009.98
黄金,2025/3/21,930.51,20.08,90140421031.29
黄金,2025/3/20,910.43,1.15,88911389860.3
黄金,2025/3/19,909.28,2.01,88490395178.96
黄金,2025/3/17,907.27,0.86,87391145248.87
